Site_No,Samp_No,Location,Analysis,CAS_NO,Analyte,Total_Or_Disolved,Result,Result_Units,Detected,Result_Qualifier,SampleDate,SampleTime,MDL,MDL_Units,Reporting_Limit,Reporting_Limit_Units,Matrix,Latitude,Longitude,QA_Comment
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-38-2,Arsenic,T,0.37,ug/L,N,U,11-Aug-15,16:00,0.37,ug/L,1,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7440-23-5,Sodium,T,12000,ug/L,Y,,11-Aug-15,16:10,480,ug/L,1000,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7440-09-7,Potassium,T,2200,ug/L,Y,,11-Aug-15,16:10,17,ug/L,1000,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7439-95-4,Magnesium,T,7800,ug/L,Y,,11-Aug-15,16:10,33,ug/L,500,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7440-70-2,Calcium,T,60000,ug/L,Y,,11-Aug-15,16:10,25,ug/L,500,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1610,ANIMAS-ROTARY PARK,200.7 Metals (ICP),7429-90-5,Aluminum,T,120,ug/L,Y,J,11-Aug-15,16:10,24,ug/L,200,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,245.1 Mercury (CVAA),7439-97-6,Mercury,T,0.08,ug/L,N,U,11-Aug-15,16:00,0.08,ug/L,0.2,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-66-6,Zinc,T,36,ug/L,Y,,11-Aug-15,16:00,2.8,ug/L,20,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7440-28-0,Thallium,T,0.1,ug/L,N,U,11-Aug-15,16:00,0.1,ug/L,0.2,ug/L,Surface Water,37.280718,-107.876927,L2 Val
A8K9,GKMSWARRP-081115-1600,ANIMAS-ROTARY PARK,200.8 Metals (ICP/MS),7782-49-2,Selenium,T,0.71,ug/L,Y,U,11-Aug-15,16:00,0.58,ug/L,2,ug/L,Surface Water,37.280718,-107.876927,L2 Val
